x,y,level
0,2,1
0,6,1
0,8,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
1,2,1
1,6,1
1,10,1
1,13,1
1,14,1
2,4,1
2,8,1
2,13,1
2,14,1
3,4,1
3,9,1
3,14,1
4,0,1
4,1,1
4,4,1
4,10,1
4,14,1
5,1,1
5,2,1
5,9,1
5,14,1
6,2,1
6,7,1
6,13,1
6,14,1
7,2,1
7,7,1
7,11,1
7,12,1
7,13,1
7,14,1
8,2,1
8,5,1
8,6,1
8,7,1
8,8,1
8,14,1
9,2,1
9,5,1
9,8,1
9,13,1
9,14,1
10,5,1
10,6,1
10,8,1
10,12,1
10,13,1
10,14,1
11,3,1
11,6,1
11,8,1
11,11,1
11,14,1
12,2,1
12,3,1
12,8,1
12,11,1
12,14,1
13,3,1
13,6,1
13,14,1
14,3,1
14,4,1
14,6,1
14,7,1
14,12,1
14,13,1
14,14,1
15,6,1
15,7,1
15,10,1
15,13,1
15,14,1
16,6,1
16,14,1
17,4,1
17,6,1
17,10,1
17,13,1
17,14,1
18,1,1
18,4,1
18,6,1
18,10,1
18,13,1
18,14,1
19,1,1
19,4,1
19,5,1
19,6,1
19,10,1
19,13,1
19,14,1
20,8,1
20,14,1
21,0,1
21,6,1
21,14,1
22,0,1
22,3,1
22,10,1
22,11,1
22,14,1
23,5,1
23,8,1
23,11,1
23,14,1
24,2,1
24,7,1
24,8,1
24,14,1
25,2,1
25,9,1
25,11,1
25,12,1
25,14,1
26,2,1
26,5,1
26,11,1
26,12,1
26,14,1
0,2,2
0,6,2
0,10,2
0,14,2
1,2,2
1,6,2
1,12,2
1,14,2
2,4,2
2,12,2
2,13,2
2,14,2
3,1,2
3,4,2
3,6,2
3,7,2
3,14,2
4,7,2
4,11,2
4,12,2
4,14,2
5,2,2
5,7,2
5,11,2
5,14,2
6,2,2
6,4,2
6,7,2
6,11,2
6,13,2
6,14,2
7,4,2
7,5,2
7,6,2
7,7,2
7,11,2
7,14,2
8,11,2
8,12,2
8,13,2
8,14,2
9,6,2
9,7,2
9,11,2
9,12,2
9,13,2
9,14,2
10,2,2
10,6,2
10,9,2
10,10,2
10,11,2
10,14,2
11,2,2
11,3,2
11,6,2
11,9,2
11,14,2
12,3,2
12,4,2
12,9,2
12,11,2
12,14,2
13,4,2
13,5,2
13,9,2
13,11,2
13,12,2
13,13,2
13,14,2
14,1,2
14,6,2
14,9,2
14,11,2
14,13,2
14,14,2
15,4,2
15,5,2
15,9,2
15,14,2
16,3,2
16,4,2
16,12,2
16,14,2
17,2,2
17,3,2
17,5,2
17,6,2
17,14,2
18,0,2
18,2,2
18,6,2
18,10,2
18,11,2
18,12,2
18,14,2
19,0,2
19,4,2
19,6,2
19,10,2
19,12,2
19,14,2
20,0,2
20,4,2
20,8,2
20,10,2
20,12,2
20,14,2
21,0,2
21,1,2
21,2,2
21,3,2
21,4,2
21,8,2
21,12,2
21,14,2
22,14,2
22,8,2
22,0,2
22,3,2
23,0,2
23,6,2
23,11,2
23,12,2
23,13,2
23,14,2
24,2,2
24,4,2
24,8,2
24,11,2
24,14,2
25,2,2
25,6,2
25,9,2
25,13,2
25,14,2
26,2,2
26,6,2
26,10,2
26,12,2
26,13,2
26,14,2
0,2,3
0,11,3
0,12,3
0,13,3
0,14,3
1,2,3
1,7,3
1,13,3
1,14,3
2,2,3
2,6,3
2,10,3
2,14,3
3,2,3
3,6,3
3,9,3
3,12,3
3,14,3
4,2,3
4,6,3
4,11,3
4,14,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,9,3
5,10,3
5,11,3
5,14,3
6,14,3
6,13,3
6,9,3
6,8,3
6,7,3
6,6,3
6,3,3
6,2,3
7,12,3
7,14,3
8,0,3
8,1,3
8,5,3
8,7,3
8,10,3
8,14,3
9,14,3
9,10,3
9,9,3
9,7,3
9,5,3
9,2,3
9,1,3
10,2,3
10,3,3
10,5,3
10,10,3
10,12,3
10,13,3
10,14,3
11,14,3
11,13,3
11,8,3
11,7,3
11,5,3
11,1,3
12,8,3
12,10,3
12,11,3
12,14,3
13,14,3
13,11,3
13,10,3
13,8,3
13,5,3
13,3,3
13,1,3
14,5,3
14,10,3
14,11,3
14,12,3
14,14,3
15,2,3
15,5,3
15,6,3
15,7,3
15,8,3
15,10,3
15,11,3
15,12,3
15,13,3
15,14,3
16,14,3
16,13,3
16,12,3
16,11,3
16,8,3
17,2,3
17,5,3
17,8,3
17,9,3
17,12,3
17,13,3
17,14,3
18,1,3
18,5,3
18,6,3
18,9,3
18,10,3
18,13,3
18,14,3
19,14,3
19,11,3
19,10,3
19,5,3
19,4,3
20,3,3
20,4,3
20,5,3
20,8,3
20,11,3
20,14,3
21,14,3
21,13,3
21,9,3
21,8,3
21,6,3
22,2,3
22,5,3
22,6,3
22,9,3
22,12,3
22,13,3
22,14,3
23,14,3
23,6,3
23,2,3
24,0,3
24,2,3
24,4,3
24,6,3
24,8,3
24,9,3
24,11,3
24,12,3
24,14,3
25,14,3
25,12,3
25,9,3
25,5,3
25,2,3
25,0,3
26,0,3
26,1,3
26,2,3
26,3,3
26,4,3
26,5,3
26,6,3
26,7,3
26,8,3
26,9,3
26,10,3
26,14,3
1,14,4
2,14,4
3,14,4
4,14,4
5,14,4
6,14,4
7,14,4
8,14,4
9,14,4
10,14,4
11,14,4
12,14,4
13,14,4
14,14,4
15,14,4
16,14,4
17,14,4
18,14,4
19,14,4
20,14,4
21,14,4
22,14,4
23,14,4
24,14,4
25,14,4
26,14,4
0,12,4
2,12,4
4,12,4
6,12,4
8,12,4
10,12,4
12,12,4
14,12,4
16,12,4
18,12,4
20,12,4
22,12,4
24,12,4
26,12,4
1,10,4
3,10,4
5,10,4
7,10,4
9,10,4
11,10,4
13,10,4
15,10,4
17,10,4
19,10,4
21,10,4
23,10,4
25,10,4
0,8,4
2,8,4
4,8,4
6,8,4
8,8,4
10,8,4
12,8,4
14,8,4
16,8,4
18,8,4
20,8,4
22,8,4
24,8,4
26,8,4
1,6,4
3,6,4
5,6,4
7,6,4
9,6,4
11,6,4
13,6,4
15,6,4
17,6,4
19,6,4
21,6,4
23,6,4
25,6,4
0,4,4
2,4,4
4,4,4
6,4,4
8,4,4
10,4,4
12,4,4
14,4,4
16,4,4
18,4,4
20,4,4
22,4,4
24,4,4
26,4,4
0,2,4
1,2,4
3,2,4
5,2,4
7,2,4
9,2,4
11,2,4
13,2,4
15,2,4
17,2,4
19,2,4
21,2,4
23,2,4
25,2,4
0,0,4
2,0,4
4,0,4
6,0,4
8,0,4
10,0,4
12,0,4
14,0,4
16,0,4
18,0,4
20,0,4
22,0,4
24,0,4
26,0,4